TIME,CH1,CH2,CH3
-3.80E-05,0.07,5.96E-09,0.001
-3.80E-05,0.07,5.96E-09,-0.001
-3.80E-05,0.07,5.96E-09,-0.001
-3.80E-05,0.07,0.08,-0.001
-3.80E-05,0.07,5.96E-09,-0.001
-3.80E-05,0.05,0.08,0.001
-3.80E-05,0.05,5.96E-09,-0.001
-3.80E-05,0.05,5.96E-09,0.001
-3.80E-05,0.07,5.96E-09,0.001
-3.80E-05,0.05,5.96E-09,0.001
-3.80E-05,0.05,5.96E-09,0.001
-3.80E-05,0.03,0.08,0.003
-3.80E-05,0.05,5.96E-09,0.001
-3.80E-05,0.05,0.08,0.003
-3.80E-05,0.05,5.96E-09,0.001
-3.80E-05,0.05,0.08,0.003
-3.80E-05,0.05,5.96E-09,0.001
-3.80E-05,0.05,0.08,0.003
-3.80E-05,0.07,5.96E-09,0.001
-3.80E-05,0.05,0.08,0.003
-3.80E-05,0.07,0.08,0.001
-3.80E-05,0.05,5.96E-09,0.001
-3.80E-05,0.05,5.96E-09,-0.001
-3.80E-05,0.05,5.96E-09,0.001
-3.80E-05,0.05,5.96E-09,0.001
-3.80E-05,0.05,5.96E-09,0.003
-3.80E-05,0.07,5.96E-09,0.001
-3.80E-05,0.05,5.96E-09,0.003
-3.80E-05,0.07,5.96E-09,0.003
-3.80E-05,0.05,5.96E-09,0.003
-3.80E-05,0.05,-0.08,0.001
-3.80E-05,0.05,5.96E-09,0.001
-3.80E-05,0.05,-0.08,0.001
-3.80E-05,0.05,5.96E-09,0.001
-3.80E-05,0.05,5.96E-09,0.001
-3.80E-05,0.03,5.96E-09,0.001
-3.80E-05,0.07,5.96E-09,0.001
-3.80E-05,0.05,5.96E-09,0.001
-3.80E-05,0.05,5.96E-09,0.001
-3.80E-05,0.03,5.96E-09,0.003
-3.80E-05,0.03,5.96E-09,0.001
-3.80E-05,0.05,5.96E-09,0.001
-3.80E-05,0.07,5.96E-09,0.001
-3.80E-05,0.05,5.96E-09,0.003
-3.80E-05,0.07,5.96E-09,0.003
-3.80E-05,0.05,5.96E-09,0.001
-3.80E-05,0.07,5.96E-09,0.001
-3.80E-05,0.05,5.96E-09,0.003
-3.80E-05,0.07,5.96E-09,0.001
-3.80E-05,0.05,5.96E-09,0.003
-3.80E-05,0.05,5.96E-09,0.001
-3.79E-05,0.03,5.96E-09,0.001
-3.79E-05,0.05,5.96E-09,-0.001
-3.79E-05,0.03,0.08,0.001
-3.79E-05,0.07,5.96E-09,0.001
-3.79E-05,0.05,0.08,0.001
-3.79E-05,0.05,5.96E-09,0.001
-3.79E-05,0.05,5.96E-09,0.003
-3.79E-05,0.07,5.96E-09,0.001
-3.79E-05,0.05,5.96E-09,0.003
-3.79E-05,0.07,5.96E-09,0.001
-3.79E-05,0.05,5.96E-09,0.001
-3.79E-05,0.07,0.08,0.001
-3.79E-05,0.05,0.08,0.001
-3.79E-05,0.07,5.96E-09,0.001
-3.79E-05,0.05,5.96E-09,0.003
-3.79E-05,0.07,5.96E-09,-0.001
-3.79E-05,0.05,0.08,0.001
-3.79E-05,0.07,0.08,-0.001
-3.79E-05,0.03,5.96E-09,0.003
-3.79E-05,0.05,5.96E-09,-0.001
-3.79E-05,0.05,5.96E-09,0.001
-3.79E-05,0.05,5.96E-09,0.001
-3.79E-05,0.05,5.96E-09,0.001
-3.79E-05,0.05,5.96E-09,0.001
-3.79E-05,0.05,5.96E-09,0.003
-3.79E-05,0.05,5.96E-09,0.001
-3.79E-05,0.03,5.96E-09,0.001
-3.79E-05,0.05,5.96E-09,0.001
-3.79E-05,0.03,5.96E-09,0.001
-3.79E-05,0.05,5.96E-09,0.001
-3.79E-05,0.03,5.96E-09,0.003
-3.79E-05,0.03,5.96E-09,0.001
-3.79E-05,0.05,5.96E-09,0.001
-3.79E-05,0.07,5.96E-09,0.001
-3.79E-05,0.05,5.96E-09,0.003
-3.79E-05,0.07,5.96E-09,0.001
-3.79E-05,0.05,5.96E-09,0.003
-3.79E-05,0.07,5.96E-09,0.001
-3.79E-05,0.05,5.96E-09,0.003
-3.79E-05,0.05,5.96E-09,0.001
-3.79E-05,0.05,5.96E-09,0.003
-3.79E-05,0.07,-0.08,0.001
-3.79E-05,0.05,5.96E-09,0.001
-3.79E-05,0.05,5.96E-09,0.001
-3.79E-05,0.07,5.96E-09,0.001
-3.79E-05,0.07,5.96E-09,-0.001
-3.79E-05,0.07,5.96E-09,0.001
-3.79E-05,0.07,5.96E-09,0.001
-3.79E-05,0.07,5.96E-09,0.003
-3.79E-05,0.07,5.96E-09,0.001
-3.79E-05,0.05,5.96E-09,0.003
-3.79E-05,0.07,5.96E-09,0.001
-3.79E-05,0.05,5.96E-09,0.001
-3.79E-05,0.07,5.96E-09,0.001
-3.79E-05,0.07,5.96E-09,0.003
-3.79E-05,0.05,5.96E-09,0.001
-3.79E-05,0.05,5.96E-09,0.001
-3.79E-05,0.05,5.96E-09,0.001
-3.79E-05,0.05,5.96E-09,0.003
-3.79E-05,0.07,5.96E-09,0.003
-3.79E-05,0.05,0.08,0.003
-3.79E-05,0.07,0.08,0.001
-3.79E-05,0.05,0.08,0.003
-3.79E-05,0.05,5.96E-09,0.001
-3.79E-05,0.05,5.96E-09,0.003
-3.79E-05,0.05,5.96E-09,0.001
-3.79E-05,0.05,5.96E-09,0.003
-3.79E-05,0.05,5.96E-09,0.001
-3.79E-05,0.05,5.96E-09,0.003
-3.79E-05,0.07,5.96E-09,0.001
-3.79E-05,0.07,0.08,0.003
-3.79E-05,0.05,0.08,0.001
-3.79E-05,0.05,0.08,0.003
-3.79E-05,0.05,5.96E-09,0.001
-3.79E-05,0.05,0.08,0.001
-3.79E-05,0.05,5.96E-09,0.001
-3.79E-05,0.05,5.96E-09,0.001
-3.79E-05,0.07,5.96E-09,0.001
-3.79E-05,0.05,5.96E-09,0.001
-3.79E-05,0.07,5.96E-09,0.001
-3.79E-05,0.05,5.96E-09,0.003
-3.79E-05,0.07,5.96E-09,0.001
-3.79E-05,0.07,5.96E-09,0.003
-3.79E-05,0.07,-0.08,0.001
-3.79E-05,0.05,5.96E-09,0.003
-3.79E-05,0.05,5.96E-09,0.001
-3.79E-05,0.05,5.96E-09,0.003
-3.79E-05,0.05,5.96E-09,0.001
-3.79E-05,0.07,5.96E-09,0.001
-3.79E-05,0.09,5.96E-09,0.001
-3.79E-05,0.07,5.96E-09,0.001
-3.79E-05,0.07,5.96E-09,0.001
-3.79E-05,0.05,5.96E-09,0.003
-3.79E-05,0.07,5.96E-09,0.001
-3.79E-05,0.05,5.96E-09,0.003
-3.79E-05,0.07,5.96E-09,0.001
-3.79E-05,0.05,5.96E-09,0.003
-3.79E-05,0.07,5.96E-09,0.001
-3.79E-05,0.05,5.96E-09,0.001
-3.79E-05,0.05,5.96E-09,0.001
-3.78E-05,0.05,5.96E-09,0.001
-3.78E-05,0.07,5.96E-09,0.001
-3.78E-05,0.05,5.96E-09,0.003
-3.78E-05,0.03,5.96E-09,0.001
-3.78E-05,0.03,5.96E-09,0.003
-3.78E-05,0.05,5.96E-09,0.001
-3.78E-05,0.03,5.96E-09,0.003
-3.78E-05,0.05,5.96E-09,-0.001
-3.78E-05,0.03,5.96E-09,0.001
-3.78E-05,0.05,5.96E-09,0.001
-3.78E-05,0.05,5.96E-09,0.003
-3.78E-05,0.05,5.96E-09,0.001
-3.78E-05,0.05,0.08,0.003
-3.78E-05,0.07,5.96E-09,0.001
-3.78E-05,0.05,5.96E-09,0.001
-3.78E-05,0.07,5.96E-09,0.001
-3.78E-05,0.05,0.08,0.001
-3.78E-05,0.07,5.96E-09,0.001
-3.78E-05,0.05,0.08,0.003
-3.78E-05,0.07,5.96E-09,0.001
-3.78E-05,0.05,5.96E-09,0.001
-3.78E-05,0.05,5.96E-09,-0.001
-3.78E-05,0.05,5.96E-09,0.001
-3.78E-05,0.07,5.96E-09,0.001
-3.78E-05,0.05,5.96E-09,0.001
-3.78E-05,0.07,5.96E-09,0.001
-3.78E-05,0.05,5.96E-09,0.003
-3.78E-05,0.07,5.96E-09,0.001
-3.78E-05,0.07,5.96E-09,0.003
-3.78E-05,0.07,5.96E-09,0.001
-3.78E-05,0.07,5.96E-09,0.003
-3.78E-05,0.05,5.96E-09,0.001
-3.78E-05,0.03,5.96E-09,0.003
-3.78E-05,0.05,5.96E-09,0.001
-3.78E-05,0.03,5.96E-09,0.003
-3.78E-05,0.05,5.96E-09,0.001
-3.78E-05,0.05,5.96E-09,0.003
-3.78E-05,0.07,5.96E-09,0.001
-3.78E-05,0.07,5.96E-09,0.003
-3.78E-05,0.07,0.08,0.001
-3.78E-05,0.05,5.96E-09,0.001
-3.78E-05,0.07,5.96E-09,0.001
-3.78E-05,0.07,5.96E-09,0.003
-3.78E-05,0.07,5.96E-09,0.001
-3.78E-05,0.05,5.96E-09,0.003
-3.78E-05,0.05,5.96E-09,0.001
-3.78E-05,0.05,5.96E-09,0.003
-3.78E-05,0.07,5.96E-09,0.001
-3.78E-05,0.05,5.96E-09,0.003
-3.78E-05,0.05,5.96E-09,0.001
-3.78E-05,0.05,5.96E-09,0.001
-3.78E-05,0.07,5.96E-09,-0.001
-3.78E-05,0.05,5.96E-09,0.003
-3.78E-05,0.07,5.96E-09,0.001
-3.78E-05,0.05,5.96E-09,0.003
-3.78E-05,0.05,5.96E-09,0.003
-3.78E-05,0.05,5.96E-09,0.003
-3.78E-05,0.07,5.96E-09,0.001
-3.78E-05,0.05,5.96E-09,0.003
-3.78E-05,0.05,5.96E-09,0.001
-3.78E-05,0.03,5.96E-09,0.001
-3.78E-05,0.05,5.96E-09,0.001
-3.78E-05,0.03,5.96E-09,0.003
-3.78E-05,0.05,5.96E-09,0.001
-3.78E-05,0.03,5.96E-09,0.001
-3.78E-05,0.05,5.96E-09,0.001
-3.78E-05,0.05,5.96E-09,0.001
-3.78E-05,0.05,5.96E-09,0.001
-3.78E-05,0.05,5.96E-09,0.001
-3.78E-05,0.07,5.96E-09,0.001
-3.78E-05,0.05,0.08,0.003
-3.78E-05,0.05,5.96E-09,0.001
-3.78E-05,0.05,5.96E-09,0.003
-3.78E-05,0.05,5.96E-09,0.003
-3.78E-05,0.03,5.96E-09,0.003
-3.78E-05,0.05,5.96E-09,0.003
-3.78E-05,0.05,5.96E-09,0.003
-3.78E-05,0.05,5.96E-09,0.001
-3.78E-05,0.05,5.96E-09,0.001
-3.78E-05,0.07,5.96E-09,-0.001
-3.78E-05,0.05,5.96E-09,0.001
-3.78E-05,0.05,5.96E-09,0.001
-3.78E-05,0.05,5.96E-09,0.003
-3.78E-05,0.05,5.96E-09,0.001
-3.78E-05,0.05,0.08,0.001
-3.78E-05,0.05,0.08,0.001
-3.78E-05,0.05,5.96E-09,0.003
-3.78E-05,0.05,0.08,0.001
-3.78E-05,0.05,5.96E-09,0.003
-3.78E-05,0.05,5.96E-09,0.001
-3.78E-05,0.05,5.96E-09,0.003
-3.78E-05,0.05,5.96E-09,0.001
-3.78E-05,0.05,5.96E-09,0.001
-3.78E-05,0.07,5.96E-09,0.001
-3.78E-05,0.05,5.96E-09,0.003
-3.78E-05,0.07,5.96E-09,0.001
-3.78E-05,0.07,5.96E-09,0.003
-3.78E-05,0.05,5.96E-09,-0.001
-3.78E-05,0.05,5.96E-09,0.001
-3.78E-05,0.05,5.96E-09,-0.001
-3.77E-05,0.03,5.96E-09,0.001
-3.77E-05,0.07,5.96E-09,0.001
-3.77E-05,0.05,5.96E-09,0.003
-3.77E-05,0.05,5.96E-09,0.001
-3.77E-05,0.05,5.96E-09,0.003
-3.77E-05,0.05,5.96E-09,0.001
-3.77E-05,0.05,5.96E-09,0.001
-3.77E-05,0.07,5.96E-09,0.001
-3.77E-05,0.05,5.96E-09,0.003
-3.77E-05,0.07,5.96E-09,0.001
-3.77E-05,0.05,5.96E-09,0.001
-3.77E-05,0.05,5.96E-09,0.001
-3.77E-05,0.05,5.96E-09,0.003
-3.77E-05,0.05,5.96E-09,0.001
-3.77E-05,0.05,5.96E-09,0.001
-3.77E-05,0.05,5.96E-09,0.001
-3.77E-05,0.05,0.08,0.001
-3.77E-05,0.07,5.96E-09,0.001
-3.77E-05,0.05,5.96E-09,0.001
-3.77E-05,0.07,5.96E-09,-0.001
-3.77E-05,0.05,0.08,0.001
-3.77E-05,0.07,5.96E-09,0.001
-3.77E-05,0.05,0.08,0.003
-3.77E-05,0.07,0.08,0.001
-3.77E-05,0.05,0.08,0.003
-3.77E-05,0.07,5.96E-09,0.001
-3.77E-05,0.05,0.08,0.001
-3.77E-05,0.05,5.96E-09,0.001
-3.77E-05,0.05,5.96E-09,0.001
-3.77E-05,0.07,5.96E-09,0.001
-3.77E-05,0.07,5.96E-09,0.003
-3.77E-05,0.09,5.96E-09,0.001
-3.77E-05,0.07,5.96E-09,0.001
-3.77E-05,0.07,5.96E-09,0.001
-3.77E-05,0.05,5.96E-09,0.001
-3.77E-05,0.05,5.96E-09,-0.001
-3.77E-05,0.07,5.96E-09,0.001
-3.77E-05,0.07,5.96E-09,-0.001
-3.77E-05,0.05,5.96E-09,0.001
-3.77E-05,0.07,5.96E-09,-0.001
-3.77E-05,0.07,5.96E-09,0.001
-3.77E-05,0.07,5.96E-09,-0.001
-3.77E-05,0.05,5.96E-09,0.001
-3.77E-05,0.07,5.96E-09,0.001
-3.77E-05,0.05,5.96E-09,0.003
-3.77E-05,0.07,5.96E-09,0.001
-3.77E-05,0.05,5.96E-09,0.003
-3.77E-05,0.07,5.96E-09,0.001
-3.77E-05,0.07,5.96E-09,0.003
-3.77E-05,0.07,5.96E-09,0.003
-3.77E-05,0.05,0.08,0.001
-3.77E-05,0.07,5.96E-09,0.001
-3.77E-05,0.05,5.96E-09,0.001
-3.77E-05,0.07,5.96E-09,-0.001
-3.77E-05,0.05,5.96E-09,0.001
-3.77E-05,0.07,5.96E-09,0.001
-3.77E-05,0.05,5.96E-09,0.001
-3.77E-05,0.07,5.96E-09,0.001
-3.77E-05,0.05,5.96E-09,0.001
-3.77E-05,0.07,5.96E-09,0.001
-3.77E-05,0.03,5.96E-09,0.001
-3.77E-05,0.05,5.96E-09,0.001
-3.77E-05,0.05,5.96E-09,0.003
-3.77E-05,0.05,5.96E-09,0.001
-3.77E-05,0.05,5.96E-09,0.001
-3.77E-05,0.07,5.96E-09,0.001
-3.77E-05,0.05,5.96E-09,0.001
-3.77E-05,0.07,5.96E-09,0.001
-3.77E-05,0.07,5.96E-09,0.001
-3.77E-05,0.07,5.96E-09,-0.001
-3.77E-05,0.07,5.96E-09,0.003
-3.77E-05,0.05,5.96E-09,0.001
-3.77E-05,0.05,0.08,0.001
-3.77E-05,0.05,0.08,-0.001
-3.77E-05,0.05,0.08,0.001
-3.77E-05,0.07,5.96E-09,0.001
-3.77E-05,0.07,0.08,0.001
-3.77E-05,0.07,0.08,-0.001
-3.77E-05,0.05,0.08,0.003
-3.77E-05,0.05,5.96E-09,0.001
-3.77E-05,0.05,5.96E-09,0.003
-3.77E-05,0.05,5.96E-09,0.001
-3.77E-05,0.05,5.96E-09,0.003
-3.77E-05,0.05,5.96E-09,0.001
-3.77E-05,0.05,5.96E-09,0.003
-3.77E-05,0.07,5.96E-09,0.001
-3.77E-05,0.05,0.08,0.003
-3.77E-05,0.05,5.96E-09,0.001
-3.77E-05,0.03,5.96E-09,0.001
-3.77E-05,0.05,5.96E-09,0.001
-3.77E-05,0.05,5.96E-09,0.001
-3.77E-05,0.05,5.96E-09,0.001
-3.77E-05,0.05,0.08,0.001
-3.77E-05,0.05,5.96E-09,-0.001
-3.77E-05,0.07,0.08,0.001
-3.77E-05,0.07,5.96E-09,-0.001
-3.77E-05,0.05,5.96E-09,0.001
-3.77E-05,0.05,0.08,-0.001
-3.77E-05,0.05,5.96E-09,0.001
-3.77E-05,0.07,5.96E-09,-0.001
-3.76E-05,0.05,5.96E-09,0.001
-3.76E-05,0.07,5.96E-09,0.001
-3.76E-05,0.05,5.96E-09,0.001
-3.76E-05,0.05,5.96E-09,0.001
-3.76E-05,0.05,5.96E-09,0.003
-3.76E-05,0.05,5.96E-09,0.001
-3.76E-05,0.05,5.96E-09,0.003
-3.76E-05,0.05,5.96E-09,0.001
-3.76E-05,0.03,5.96E-09,0.003
-3.76E-05,0.05,0.08,0.001
-3.76E-05,0.05,5.96E-09,0.003
-3.76E-05,0.07,5.96E-09,-0.001
-3.76E-05,0.05,5.96E-09,-0.001
-3.76E-05,0.07,0.08,-0.001
-3.76E-05,0.05,0.08,0.001
-3.76E-05,0.07,5.96E-09,0.001
-3.76E-05,0.05,5.96E-09,0.001
-3.76E-05,0.07,5.96E-09,0.001
-3.76E-05,0.05,5.96E-09,0.003
-3.76E-05,0.05,5.96E-09,0.001
-3.76E-05,0.05,0.08,0.001
-3.76E-05,0.05,5.96E-09,0.001
-3.76E-05,0.05,5.96E-09,0.003
-3.76E-05,0.07,5.96E-09,0.001
-3.76E-05,0.05,5.96E-09,0.003
-3.76E-05,0.07,5.96E-09,0.001
-3.76E-05,0.05,5.96E-09,0.003
-3.76E-05,0.07,5.96E-09,0.001
-3.76E-05,0.05,5.96E-09,0.003
-3.76E-05,0.05,-0.08,0.001
-3.76E-05,0.05,5.96E-09,0.001
-3.76E-05,0.05,5.96E-09,0.001
-3.76E-05,0.05,5.96E-09,0.001
-3.76E-05,0.07,5.96E-09,0.001
-3.76E-05,0.07,5.96E-09,0.001
-3.76E-05,0.07,5.96E-09,0.001
-3.76E-05,0.05,0.08,0.001
-3.76E-05,0.07,5.96E-09,-0.001
-3.76E-05,0.05,0.08,0.001
-3.76E-05,0.05,5.96E-09,0.001
-3.76E-05,0.05,5.96E-09,0.003
-3.76E-05,0.05,5.96E-09,0.001
-3.76E-05,0.05,5.96E-09,0.003
-3.76E-05,0.05,5.96E-09,0.001
-3.76E-05,0.05,5.96E-09,0.003
-3.76E-05,0.05,5.96E-09,0.001
-3.76E-05,0.05,5.96E-09,0.001
-3.76E-05,0.05,5.96E-09,0.001
-3.76E-05,0.03,5.96E-09,0.001
-3.76E-05,0.05,5.96E-09,0.001
-3.76E-05,0.05,0.08,0.001
-3.76E-05,0.05,5.96E-09,-0.001
-3.76E-05,0.05,5.96E-09,0.003
-3.76E-05,0.05,5.96E-09,0.001
-3.76E-05,0.05,5.96E-09,0.003
-3.76E-05,0.05,5.96E-09,0.003
-3.76E-05,0.05,0.08,0.003
-3.76E-05,0.05,5.96E-09,0.003
-3.76E-05,0.05,5.96E-09,0.001
-3.76E-05,0.05,5.96E-09,-0.001
-3.76E-05,0.05,5.96E-09,0.001
-3.76E-05,0.05,5.96E-09,0.001
-3.76E-05,0.05,5.96E-09,0.003
-3.76E-05,0.07,5.96E-09,0.001
-3.76E-05,0.05,5.96E-09,0.001
-3.76E-05,0.07,5.96E-09,0.001
-3.76E-05,0.07,5.96E-09,0.001
-3.76E-05,0.07,0.08,0.001
-3.76E-05,0.05,0.08,0.003
-3.76E-05,0.07,0.08,0.001
-3.76E-05,0.05,5.96E-09,0.001
-3.76E-05,0.05,5.96E-09,0.001
-3.76E-05,0.05,5.96E-09,0.003
-3.76E-05,0.05,5.96E-09,0.003
-3.76E-05,0.05,5.96E-09,0.003
-3.76E-05,0.05,5.96E-09,0.001
-3.76E-05,0.05,5.96E-09,0.001
-3.76E-05,0.07,5.96E-09,0.001
-3.76E-05,0.05,5.96E-09,0.003
-3.76E-05,0.07,5.96E-09,0.001
-3.76E-05,0.05,0.08,0.001
-3.76E-05,0.05,0.08,-0.001
-3.76E-05,0.05,5.96E-09,0.001
-3.76E-05,0.07,5.96E-09,0.001
-3.76E-05,0.05,5.96E-09,0.001
-3.76E-05,0.07,5.96E-09,0.001
-3.76E-05,0.05,5.96E-09,0.001
-3.76E-05,0.07,-0.08,0.001
-3.76E-05,0.05,5.96E-09,0.001
-3.76E-05,0.05,5.96E-09,0.001
-3.76E-05,0.05,5.96E-09,0.001
-3.76E-05,0.05,5.96E-09,0.001
-3.76E-05,0.05,5.96E-09,0.003
-3.76E-05,0.07,5.96E-09,0.003
-3.76E-05,0.05,5.96E-09,0.003
-3.76E-05,0.07,5.96E-09,-0.001
-3.76E-05,0.05,0.08,0.003
-3.76E-05,0.07,5.96E-09,0.001
-3.76E-05,0.05,0.08,0.003
-3.76E-05,0.05,0.08,0.001
-3.75E-05,0.05,5.96E-09,0.003
-3.75E-05,0.05,5.96E-09,0.001
-3.75E-05,0.05,5.96E-09,0.003
-3.75E-05,0.07,5.96E-09,0.001
-3.75E-05,0.05,5.96E-09,0.001
-3.75E-05,0.07,5.96E-09,0.001
-3.75E-05,0.05,5.96E-09,0.001
-3.75E-05,0.07,5.96E-09,-0.001
-3.75E-05,0.05,5.96E-09,0.001
-3.75E-05,0.05,5.96E-09,0.001
-3.75E-05,0.05,5.96E-09,0.003
-3.75E-05,0.05,5.96E-09,0.001
-3.75E-05,0.03,5.96E-09,0.003
-3.75E-05,0.05,5.96E-09,0.003
-3.75E-05,0.05,5.96E-09,0.001
-3.75E-05,0.07,5.96E-09,0.001
-3.75E-05,0.07,5.96E-09,0.003
-3.75E-05,0.07,5.96E-09,0.001
-3.75E-05,0.05,5.96E-09,0.003
-3.75E-05,0.05,5.96E-09,0.003
-3.75E-05,0.05,5.96E-09,0.003
-3.75E-05,0.07,5.96E-09,0.001
-3.75E-05,0.05,5.96E-09,0.001
-3.75E-05,0.05,0.08,0.001
-3.75E-05,0.05,5.96E-09,0.003
-3.75E-05,0.07,5.96E-09,0.001
-3.75E-05,0.05,5.96E-09,0.003
-3.75E-05,0.05,5.96E-09,0.001
-3.75E-05,0.03,5.96E-09,0.003
-3.75E-05,0.05,5.96E-09,0.003
-3.75E-05,0.03,5.96E-09,0.003
-3.75E-05,0.05,5.96E-09,-0.001
-3.75E-05,0.03,5.96E-09,0.001
-3.75E-05,0.05,5.96E-09,-0.001
-3.75E-05,0.05,5.96E-09,0.001
-3.75E-05,0.05,5.96E-09,-0.001
-3.75E-05,0.05,5.96E-09,0.001
-3.75E-05,0.07,5.96E-09,0.001
-3.75E-05,0.05,5.96E-09,0.003
-3.75E-05,0.05,5.96E-09,0.001
-3.75E-05,0.03,0.08,0.003
-3.75E-05,0.07,5.96E-09,0.001
-3.75E-05,0.05,0.08,0.003
-3.75E-05,0.07,5.96E-09,0.001
-3.75E-05,0.07,0.08,0.003
-3.75E-05,0.07,5.96E-09,0.001
-3.75E-05,0.07,5.96E-09,0.001
-3.75E-05,0.07,5.96E-09,-0.001
-3.75E-05,0.05,5.96E-09,0.001
-3.75E-05,0.07,5.96E-09,-0.001
-3.75E-05,0.05,5.96E-09,0.001
-3.75E-05,0.07,5.96E-09,-0.001
-3.75E-05,0.05,0.08,0.001
-3.75E-05,0.07,5.96E-09,-0.001
-3.75E-05,0.07,5.96E-09,0.003
-3.75E-05,0.07,5.96E-09,0.001
-3.75E-05,0.07,5.96E-09,0.001
-3.75E-05,0.07,5.96E-09,0.001
-3.75E-05,0.05,0.08,0.003
-3.75E-05,0.05,5.96E-09,0.001
-3.75E-05,0.05,5.96E-09,0.003
-3.75E-05,0.05,5.96E-09,-0.001
-3.75E-05,0.03,5.96E-09,0.001
-3.75E-05,0.05,5.96E-09,-0.001
-3.75E-05,0.05,5.96E-09,0.001
-3.75E-05,0.05,5.96E-09,0.001
-3.75E-05,0.05,0.08,0.001
-3.75E-05,0.05,5.96E-09,-0.001
-3.75E-05,0.05,5.96E-09,-0.001
-3.75E-05,0.07,5.96E-09,-0.001
-3.75E-05,0.05,5.96E-09,0.001
-3.75E-05,0.07,5.96E-09,0.001
-3.75E-05,0.07,5.96E-09,0.001
-3.75E-05,0.07,5.96E-09,0.001
-3.75E-05,0.07,5.96E-09,0.003
-3.75E-05,0.07,5.96E-09,0.001
-3.75E-05,0.07,5.96E-09,0.003
-3.75E-05,0.07,5.96E-09,0.001
-3.75E-05,0.05,5.96E-09,0.003
-3.75E-05,0.07,5.96E-09,0.001
-3.75E-05,0.07,5.96E-09,0.003
-3.75E-05,0.07,5.96E-09,0.001
-3.75E-05,0.07,0.08,0.003
-3.75E-05,0.07,5.96E-09,-0.001
-3.75E-05,0.05,5.96E-09,0.001
-3.75E-05,0.05,5.96E-09,-0.001
-3.75E-05,0.05,5.96E-09,0.003
-3.75E-05,0.05,5.96E-09,0.001
-3.75E-05,0.05,0.08,0.003
-3.75E-05,0.05,5.96E-09,0.001
-3.75E-05,0.05,5.96E-09,0.001
-3.75E-05,0.07,5.96E-09,0.001
-3.75E-05,0.05,5.96E-09,0.001
-3.75E-05,0.07,5.96E-09,0.001
-3.75E-05,0.05,5.96E-09,0.003
-3.75E-05,0.07,5.96E-09,0.003
-3.75E-05,0.05,0.08,0.003
-3.75E-05,0.07,5.96E-09,0.003
-3.75E-05,0.07,5.96E-09,0.003
-3.75E-05,0.07,5.96E-09,0.001
-3.74E-05,0.05,5.96E-09,0.003
-3.74E-05,0.07,5.96E-09,0.001
-3.74E-05,0.05,5.96E-09,0.003
-3.74E-05,0.05,5.96E-09,0.001
-3.74E-05,0.05,0.08,0.003
-3.74E-05,0.05,5.96E-09,0.001
-3.74E-05,0.05,0.08,0.003
-3.74E-05,0.05,5.96E-09,0.001
-3.74E-05,0.05,5.96E-09,0.001
-3.74E-05,0.07,-0.08,0.001
-3.74E-05,0.05,-0.08,0.003
-3.74E-05,0.07,5.96E-09,0.003
-3.74E-05,0.05,5.96E-09,0.003
-3.74E-05,0.07,5.96E-09,0.001
-3.74E-05,0.05,5.96E-09,0.003
-3.74E-05,0.05,5.96E-09,0.001
-3.74E-05,0.05,5.96E-09,0.003
-3.74E-05,0.07,5.96E-09,0.001
-3.74E-05,0.05,5.96E-09,0.003
-3.74E-05,0.07,5.96E-09,0.001
-3.74E-05,0.05,5.96E-09,0.001
-3.74E-05,0.05,5.96E-09,0.001
-3.74E-05,0.03,5.96E-09,0.003
-3.74E-05,0.05,5.96E-09,0.001
-3.74E-05,0.03,5.96E-09,0.001
-3.74E-05,0.05,5.96E-09,-0.001
-3.74E-05,0.05,5.96E-09,0.001
-3.74E-05,0.05,5.96E-09,-0.001
-3.74E-05,0.05,0.08,0.001
-3.74E-05,0.05,5.96E-09,-0.001
-3.74E-05,0.05,5.96E-09,0.003
-3.74E-05,0.05,5.96E-09,0.001
-3.74E-05,0.05,5.96E-09,0.001
-3.74E-05,0.05,5.96E-09,0.001
-3.74E-05,0.05,5.96E-09,0.001
-3.74E-05,0.07,5.96E-09,0.001
-3.74E-05,0.05,5.96E-09,0.005
-3.74E-05,0.05,5.96E-09,0.003
-3.74E-05,0.05,5.96E-09,0.003
-3.74E-05,0.07,5.96E-09,0.001
-3.74E-05,0.05,5.96E-09,0.001
-3.74E-05,0.07,5.96E-09,-0.001
-3.74E-05,0.05,-0.08,0.001
-3.74E-05,0.07,5.96E-09,0.001
-3.74E-05,0.05,5.96E-09,0.003
-3.74E-05,0.07,5.96E-09,0.001
-3.74E-05,0.05,5.96E-09,0.001
-3.74E-05,0.05,5.96E-09,-0.001
-3.74E-05,0.05,5.96E-09,0.001
-3.74E-05,0.05,5.96E-09,0.001
-3.74E-05,0.03,5.96E-09,0.003
-3.74E-05,0.05,5.96E-09,0.001
-3.74E-05,0.05,5.96E-09,0.003
-3.74E-05,0.07,5.96E-09,0.001
-3.74E-05,0.05,5.96E-09,0.003
-3.74E-05,0.07,5.96E-09,0.001
-3.74E-05,0.07,0.08,0.003
-3.74E-05,0.07,0.08,0.001
-3.74E-05,0.05,5.96E-09,0.001
-3.74E-05,0.07,0.08,0.001
-3.74E-05,0.05,5.96E-09,0.001
-3.74E-05,0.07,0.08,0.001
-3.74E-05,0.07,5.96E-09,0.003
-3.74E-05,0.05,5.96E-09,0.001
-3.74E-05,0.03,5.96E-09,0.001
